image_path,mask_path,type,split
dataset\images\train\IMG_8307_JPG_jpg.rf.4e42f22daef2b1e3f46007c271f93759.jpg,dataset\masks\train\IMG_8307_JPG_jpg.rf.4e42f22daef2b1e3f46007c271f93759__segment_taping.png,taping,train
dataset\images\train\IMG_8229_JPG_jpg.rf.50fbaf864a202cb55815ab04c61bd6bb.jpg,dataset\masks\train\IMG_8229_JPG_jpg.rf.50fbaf864a202cb55815ab04c61bd6bb__segment_taping.png,taping,train
dataset\images\train\IMG_8224_JPG_jpg.rf.4ee600dd87d0b30d1de8a5da5160b222.jpg,dataset\masks\train\IMG_8224_JPG_jpg.rf.4ee600dd87d0b30d1de8a5da5160b222__segment_taping.png,taping,train
dataset\images\train\2000x1500_80_resized_jpg.rf.5059760ec80a18c6cebe643c929e9ba4.jpg,dataset\masks\train\2000x1500_80_resized_jpg.rf.5059760ec80a18c6cebe643c929e9ba4__segment_taping.png,taping,train
dataset\images\train\2000x1500_15_resized_jpg.rf.501b288fd2600af37d817a3f836c0f60.jpg,dataset\masks\train\2000x1500_15_resized_jpg.rf.501b288fd2600af37d817a3f836c0f60__segment_taping.png,taping,train
dataset\images\train\IMG_8236_JPG_jpg.rf.4debcef3fdc101cc563bf6e3857b2e26.jpg,dataset\masks\train\IMG_8236_JPG_jpg.rf.4debcef3fdc101cc563bf6e3857b2e26__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_110706-jpg_1500x2000_jpg.rf.4f47ffb4a2b26a901b5c37785f43c530.jpg,dataset\masks\train\IMG_20220627_110706-jpg_1500x2000_jpg.rf.4f47ffb4a2b26a901b5c37785f43c530__segment_taping.png,taping,train
dataset\images\train\2000x1500_31_resized_jpg.rf.4f4401d66dfa717f8dc2314a2bc902ac.jpg,dataset\masks\train\2000x1500_31_resized_jpg.rf.4f4401d66dfa717f8dc2314a2bc902ac__segment_taping.png,taping,train
dataset\images\train\2000x1500_46_resized_jpg.rf.50803f14b6ac98b1e1cd8d1623fc98d5.jpg,dataset\masks\train\2000x1500_46_resized_jpg.rf.50803f14b6ac98b1e1cd8d1623fc98d5__segment_taping.png,taping,train
dataset\images\train\IMG_8221_JPG_jpg.rf.50f01f158b91f0a31bd351d1b5e7bd73.jpg,dataset\masks\train\IMG_8221_JPG_jpg.rf.50f01f158b91f0a31bd351d1b5e7bd73__segment_taping.png,taping,train
dataset\images\train\IMG_8229_JPG_jpg.rf.4e573d4e577c2e18f4ecf015f52f5c92.jpg,dataset\masks\train\IMG_8229_JPG_jpg.rf.4e573d4e577c2e18f4ecf015f52f5c92__segment_taping.png,taping,train
dataset\images\train\IMG_8238_JPG_jpg.rf.4d28dd528fe07aaaa8a0e71f4a2964d5.jpg,dataset\masks\train\IMG_8238_JPG_jpg.rf.4d28dd528fe07aaaa8a0e71f4a2964d5__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_110706-jpg_1500x2000_jpg.rf.4f2d31943cc23d7528f0af6d3acaf2d7.jpg,dataset\masks\train\IMG_20220627_110706-jpg_1500x2000_jpg.rf.4f2d31943cc23d7528f0af6d3acaf2d7__segment_taping.png,taping,train
dataset\images\train\IMG_8254_JPG_jpg.rf.4dd4d9c3b36d24cee473042773e77e6b.jpg,dataset\masks\train\IMG_8254_JPG_jpg.rf.4dd4d9c3b36d24cee473042773e77e6b__segment_taping.png,taping,train
dataset\images\train\IMG_8236_JPG_jpg.rf.5395f0ff6c4fbad9aa899bc51a21851e.jpg,dataset\masks\train\IMG_8236_JPG_jpg.rf.5395f0ff6c4fbad9aa899bc51a21851e__segment_taping.png,taping,train
dataset\images\train\IMG_8249_JPG_jpg.rf.523cbb4cc0516ea140e766f591a0d54e.jpg,dataset\masks\train\IMG_8249_JPG_jpg.rf.523cbb4cc0516ea140e766f591a0d54e__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111048-jpg_1500x2000_jpg.rf.52f98683f1aee335e467cc21b3515faf.jpg,dataset\masks\train\IMG_20220627_111048-jpg_1500x2000_jpg.rf.52f98683f1aee335e467cc21b3515faf__segment_taping.png,taping,train
dataset\images\train\IMG_8243_JPG_jpg.rf.528c77559128741ce07700c80eff85de.jpg,dataset\masks\train\IMG_8243_JPG_jpg.rf.528c77559128741ce07700c80eff85de__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111657-jpg_1500x2000_jpg.rf.541dd41e505a7d6b9e0f9f092f3bd8a6.jpg,dataset\masks\train\IMG_20220627_111657-jpg_1500x2000_jpg.rf.541dd41e505a7d6b9e0f9f092f3bd8a6__segment_taping.png,taping,train
dataset\images\train\IMG_8204_JPG_jpg.rf.517ed818dc3e882064130dc31c1a0d07.jpg,dataset\masks\train\IMG_8204_JPG_jpg.rf.517ed818dc3e882064130dc31c1a0d07__segment_taping.png,taping,train
dataset\images\train\2000x1500_13_resized_jpg.rf.523582379f857d347b85a79400cce096.jpg,dataset\masks\train\2000x1500_13_resized_jpg.rf.523582379f857d347b85a79400cce096__segment_taping.png,taping,train
dataset\images\train\IMG_8248_JPG_jpg.rf.5514c6a970819b455e7e3f76199d78ce.jpg,dataset\masks\train\IMG_8248_JPG_jpg.rf.5514c6a970819b455e7e3f76199d78ce__segment_taping.png,taping,train
dataset\images\train\2000x1500_9_resized_jpg.rf.519e560e29a0c15045faaf3fe04d83f4.jpg,dataset\masks\train\2000x1500_9_resized_jpg.rf.519e560e29a0c15045faaf3fe04d83f4__segment_taping.png,taping,train
dataset\images\train\2000x1500_15_resized_jpg.rf.5507045f37d303487d1041ca15c46589.jpg,dataset\masks\train\2000x1500_15_resized_jpg.rf.5507045f37d303487d1041ca15c46589__segment_taping.png,taping,train
dataset\images\train\IMG_8238_JPG_jpg.rf.57869ca61db50b6c516a08953c2e4483.jpg,dataset\masks\train\IMG_8238_JPG_jpg.rf.57869ca61db50b6c516a08953c2e4483__segment_taping.png,taping,train
dataset\images\train\IMG_8220_JPG_jpg.rf.571365eb919d7f895a9cffc1be0191cd.jpg,dataset\masks\train\IMG_8220_JPG_jpg.rf.571365eb919d7f895a9cffc1be0191cd__segment_taping.png,taping,train
dataset\images\train\IMG_8218_JPG_jpg.rf.519141b9d93a21db7aff8499a8c3ab1f.jpg,dataset\masks\train\IMG_8218_JPG_jpg.rf.519141b9d93a21db7aff8499a8c3ab1f__segment_taping.png,taping,train
dataset\images\train\2000x1500_76_resized_jpg.rf.57adea9db5427bef5e2ee265ee2779de.jpg,dataset\masks\train\2000x1500_76_resized_jpg.rf.57adea9db5427bef5e2ee265ee2779de__segment_taping.png,taping,train
dataset\images\train\IMG_8217_JPG_jpg.rf.577fba1b90592b1afab5f31c81047e4b.jpg,dataset\masks\train\IMG_8217_JPG_jpg.rf.577fba1b90592b1afab5f31c81047e4b__segment_taping.png,taping,train
dataset\images\train\IMG_8220_JPG_jpg.rf.520fdd39273be9b3b676f58ee55d5e06.jpg,dataset\masks\train\IMG_8220_JPG_jpg.rf.520fdd39273be9b3b676f58ee55d5e06__segment_taping.png,taping,train
dataset\images\train\2000x1500_47_resized_jpg.rf.54421043cc0f3d978cab411533196ac8.jpg,dataset\masks\train\2000x1500_47_resized_jpg.rf.54421043cc0f3d978cab411533196ac8__segment_taping.png,taping,train
dataset\images\train\IMG_8246_JPG_jpg.rf.562230339b9c676a382bd57ea3c222db.jpg,dataset\masks\train\IMG_8246_JPG_jpg.rf.562230339b9c676a382bd57ea3c222db__segment_taping.png,taping,train
dataset\images\train\2000x1500_80_resized_jpg.rf.557f6be897caf8b9854878ceb92c7e8c.jpg,dataset\masks\train\2000x1500_80_resized_jpg.rf.557f6be897caf8b9854878ceb92c7e8c__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_110706-jpg_1500x2000_jpg.rf.53a159c1a08d20d83c3b905916a6e94f.jpg,dataset\masks\train\IMG_20220627_110706-jpg_1500x2000_jpg.rf.53a159c1a08d20d83c3b905916a6e94f__segment_taping.png,taping,train
dataset\images\train\IMG_8216_JPG_jpg.rf.53f9f2b0ee377f3857aa6bf72e9cba95.jpg,dataset\masks\train\IMG_8216_JPG_jpg.rf.53f9f2b0ee377f3857aa6bf72e9cba95__segment_taping.png,taping,train
dataset\images\train\IMG_8228_JPG_jpg.rf.5788fbdc806283a8e8324acb8e1b4646.jpg,dataset\masks\train\IMG_8228_JPG_jpg.rf.5788fbdc806283a8e8324acb8e1b4646__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111249-jpg_1500x2000_jpg.rf.53244a1e77b001264c8a537b91ace9ca.jpg,dataset\masks\train\IMG_20220627_111249-jpg_1500x2000_jpg.rf.53244a1e77b001264c8a537b91ace9ca__segment_taping.png,taping,train
dataset\images\train\IMG_8228_JPG_jpg.rf.52578296c826dc5148a8e371e09656cc.jpg,dataset\masks\train\IMG_8228_JPG_jpg.rf.52578296c826dc5148a8e371e09656cc__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111149-jpg_1500x2000_jpg.rf.57c198fdef78b108aaeafb8447e12c48.jpg,dataset\masks\train\IMG_20220627_111149-jpg_1500x2000_jpg.rf.57c198fdef78b108aaeafb8447e12c48__segment_taping.png,taping,train
dataset\images\train\IMG_8248_JPG_jpg.rf.579d2a3ce51b15bad91e62930cb67c6d.jpg,dataset\masks\train\IMG_8248_JPG_jpg.rf.579d2a3ce51b15bad91e62930cb67c6d__segment_taping.png,taping,train
dataset\images\train\IMG_8325_JPG_jpg.rf.580f68b40f28cc2d14baad404df50b1d.jpg,dataset\masks\train\IMG_8325_JPG_jpg.rf.580f68b40f28cc2d14baad404df50b1d__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111320-jpg_1500x2000_jpg.rf.57deb4ea1299c95e095a86a49db6b316.jpg,dataset\masks\train\IMG_20220627_111320-jpg_1500x2000_jpg.rf.57deb4ea1299c95e095a86a49db6b316__segment_taping.png,taping,train
dataset\images\train\IMG_8203_JPG_jpg.rf.5805a54ac41003da386b4415b91b60ae.jpg,dataset\masks\train\IMG_8203_JPG_jpg.rf.5805a54ac41003da386b4415b91b60ae__segment_taping.png,taping,train
dataset\images\train\IMG_8222_JPG_jpg.rf.59080775aadc8517636ed008c9262cbd.jpg,dataset\masks\train\IMG_8222_JPG_jpg.rf.59080775aadc8517636ed008c9262cbd__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111320-jpg_1500x2000_jpg.rf.57f0e62e618a6b666365bbaef2b2fae3.jpg,dataset\masks\train\IMG_20220627_111320-jpg_1500x2000_jpg.rf.57f0e62e618a6b666365bbaef2b2fae3__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111127-jpg_1500x2000_jpg.rf.5c999d5e63a7c08b66c0ea043b4e7526.jpg,dataset\masks\train\IMG_20220627_111127-jpg_1500x2000_jpg.rf.5c999d5e63a7c08b66c0ea043b4e7526__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111130-jpg_1500x2000_jpg.rf.5afad56f19d5e3a1f0943d79b4b68660.jpg,dataset\masks\train\IMG_20220627_111130-jpg_1500x2000_jpg.rf.5afad56f19d5e3a1f0943d79b4b68660__segment_taping.png,taping,train
dataset\images\train\IMG_8210_JPG_jpg.rf.5c1bb07cc4a3640454b9cdaeaca4ab16.jpg,dataset\masks\train\IMG_8210_JPG_jpg.rf.5c1bb07cc4a3640454b9cdaeaca4ab16__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111632-jpg_1500x2000_jpg.rf.5a62bc9452f74c98da0b7918fc6fc35b.jpg,dataset\masks\train\IMG_20220627_111632-jpg_1500x2000_jpg.rf.5a62bc9452f74c98da0b7918fc6fc35b__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_110122-jpg_1500x2000_jpg.rf.5d86002213c2ed2226b0ab40379fa9f8.jpg,dataset\masks\train\IMG_20220627_110122-jpg_1500x2000_jpg.rf.5d86002213c2ed2226b0ab40379fa9f8__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111127-jpg_1500x2000_jpg.rf.5c80feb63bdfa3bab2927526159012b2.jpg,dataset\masks\train\IMG_20220627_111127-jpg_1500x2000_jpg.rf.5c80feb63bdfa3bab2927526159012b2__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111635-jpg_1500x2000_jpg.rf.5b15700fae6bd613224618825971eb60.jpg,dataset\masks\train\IMG_20220627_111635-jpg_1500x2000_jpg.rf.5b15700fae6bd613224618825971eb60__segment_taping.png,taping,train
dataset\images\train\IMG_8226_JPG_jpg.rf.5a6c14560fd769c2a18c04525d707849.jpg,dataset\masks\train\IMG_8226_JPG_jpg.rf.5a6c14560fd769c2a18c04525d707849__segment_taping.png,taping,train
dataset\images\train\2000x1500_32_resized_jpg.rf.5d38af4c22b7bd5ee04561936d789269.jpg,dataset\masks\train\2000x1500_32_resized_jpg.rf.5d38af4c22b7bd5ee04561936d789269__segment_taping.png,taping,train
dataset\images\train\IMG_8241_JPG_jpg.rf.5a4da8e92b06a75b3df514f82e4f6f81.jpg,dataset\masks\train\IMG_8241_JPG_jpg.rf.5a4da8e92b06a75b3df514f82e4f6f81__segment_taping.png,taping,train
dataset\images\train\IMG_8220_JPG_jpg.rf.595424ba176885d188f4bdcf514c54bb.jpg,dataset\masks\train\IMG_8220_JPG_jpg.rf.595424ba176885d188f4bdcf514c54bb__segment_taping.png,taping,train
dataset\images\train\IMG_8216_JPG_jpg.rf.5a3e693fe75a651edb8963e959d27b02.jpg,dataset\masks\train\IMG_8216_JPG_jpg.rf.5a3e693fe75a651edb8963e959d27b02__segment_taping.png,taping,train
dataset\images\train\2000x1500_5_resized_jpg.rf.5a64c96874d273b282ec619a957558a0.jpg,dataset\masks\train\2000x1500_5_resized_jpg.rf.5a64c96874d273b282ec619a957558a0__segment_taping.png,taping,train
dataset\images\train\IMG_8206_JPG_jpg.rf.5985bfbd717762a15acc550592710f50.jpg,dataset\masks\train\IMG_8206_JPG_jpg.rf.5985bfbd717762a15acc550592710f50__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111136-jpg_1500x2000_jpg.rf.5e2bd44e29d1294fb0887decbd9b9710.jpg,dataset\masks\train\IMG_20220627_111136-jpg_1500x2000_jpg.rf.5e2bd44e29d1294fb0887decbd9b9710__segment_taping.png,taping,train
dataset\images\train\2000x1500_19_resized_jpg.rf.5b3c3184784316c4ab24c65c127807fa.jpg,dataset\masks\train\2000x1500_19_resized_jpg.rf.5b3c3184784316c4ab24c65c127807fa__segment_taping.png,taping,train
dataset\images\train\IMG_8206_JPG_jpg.rf.60bed48f739501a0452d366fd4dfe6e4.jpg,dataset\masks\train\IMG_8206_JPG_jpg.rf.60bed48f739501a0452d366fd4dfe6e4__segment_taping.png,taping,train
dataset\images\train\2000x1500_48_resized_jpg.rf.5da9444be7ba180ddcb8dd1b16aeca03.jpg,dataset\masks\train\2000x1500_48_resized_jpg.rf.5da9444be7ba180ddcb8dd1b16aeca03__segment_taping.png,taping,train
dataset\images\train\2000x1500_68_resized_jpg.rf.5fa4d06f051b8afe369748d9f0394062.jpg,dataset\masks\train\2000x1500_68_resized_jpg.rf.5fa4d06f051b8afe369748d9f0394062__segment_taping.png,taping,train
dataset\images\train\IMG_8260_JPG_jpg.rf.5e37ebd8605d1e3bcb4365b4bde0572e.jpg,dataset\masks\train\IMG_8260_JPG_jpg.rf.5e37ebd8605d1e3bcb4365b4bde0572e__segment_taping.png,taping,train
dataset\images\train\2000x1500_47_resized_jpg.rf.5db0cbe980eb38f1c8975aa78fb79837.jpg,dataset\masks\train\2000x1500_47_resized_jpg.rf.5db0cbe980eb38f1c8975aa78fb79837__segment_taping.png,taping,train
dataset\images\train\2000x1500_64_resized_jpg.rf.60c8625e7a08f5dbe780354cf72fcf75.jpg,dataset\masks\train\2000x1500_64_resized_jpg.rf.60c8625e7a08f5dbe780354cf72fcf75__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111149-jpg_1500x2000_jpg.rf.5dd9d3fe5858e09637c5ae31aa196948.jpg,dataset\masks\train\IMG_20220627_111149-jpg_1500x2000_jpg.rf.5dd9d3fe5858e09637c5ae31aa196948__segment_taping.png,taping,train
dataset\images\train\IMG_8206_JPG_jpg.rf.60eeb585e4f2d4da59a242df1a3d70db.jpg,dataset\masks\train\IMG_8206_JPG_jpg.rf.60eeb585e4f2d4da59a242df1a3d70db__segment_taping.png,taping,train
dataset\images\train\IMG_8205_JPG_jpg.rf.5e04c6d003e164d2180e67936840a6bd.jpg,dataset\masks\train\IMG_8205_JPG_jpg.rf.5e04c6d003e164d2180e67936840a6bd__segment_taping.png,taping,train
dataset\images\train\2000x1500_49_resized_jpg.rf.62cf151cfae94f1187fdd93f2f879b11.jpg,dataset\masks\train\2000x1500_49_resized_jpg.rf.62cf151cfae94f1187fdd93f2f879b11__segment_taping.png,taping,train
dataset\images\train\IMG_8205_JPG_jpg.rf.621f4001000d4e0ebadf3af1082ad71f.jpg,dataset\masks\train\IMG_8205_JPG_jpg.rf.621f4001000d4e0ebadf3af1082ad71f__segment_taping.png,taping,train
dataset\images\train\2000x1500_78_resized_jpg.rf.62e69ebd41b98846231ec8860704c7dd.jpg,dataset\masks\train\2000x1500_78_resized_jpg.rf.62e69ebd41b98846231ec8860704c7dd__segment_taping.png,taping,train
dataset\images\train\IMG_8237_JPG_jpg.rf.6113ef2191a63d6a4850948bdc8b047d.jpg,dataset\masks\train\IMG_8237_JPG_jpg.rf.6113ef2191a63d6a4850948bdc8b047d__segment_taping.png,taping,train
dataset\images\train\IMG_8243_JPG_jpg.rf.60b72d8390f0db4d751e85f3f5735e08.jpg,dataset\masks\train\IMG_8243_JPG_jpg.rf.60b72d8390f0db4d751e85f3f5735e08__segment_taping.png,taping,train
dataset\images\train\IMG_8209_JPG_jpg.rf.6151761c6dfe636bd4c7fbbe94826163.jpg,dataset\masks\train\IMG_8209_JPG_jpg.rf.6151761c6dfe636bd4c7fbbe94826163__segment_taping.png,taping,train
dataset\images\train\2000x1500_78_resized_jpg.rf.6543b5943779a48ad390e530ec48b8a6.jpg,dataset\masks\train\2000x1500_78_resized_jpg.rf.6543b5943779a48ad390e530ec48b8a6__segment_taping.png,taping,train
dataset\images\train\IMG_8223_JPG_jpg.rf.6286d4482be24038eb8b9d016460fa55.jpg,dataset\masks\train\IMG_8223_JPG_jpg.rf.6286d4482be24038eb8b9d016460fa55__segment_taping.png,taping,train
dataset\images\train\IMG_8238_JPG_jpg.rf.620882dbae152e1ff82330a3400ffbf9.jpg,dataset\masks\train\IMG_8238_JPG_jpg.rf.620882dbae152e1ff82330a3400ffbf9__segment_taping.png,taping,train
dataset\images\train\IMG_8223_JPG_jpg.rf.61a32d802200faf8a392933755e549bd.jpg,dataset\masks\train\IMG_8223_JPG_jpg.rf.61a32d802200faf8a392933755e549bd__segment_taping.png,taping,train
dataset\images\train\IMG_8216_JPG_jpg.rf.63cf4f595f7b2c7be6abbfacb4c88eca.jpg,dataset\masks\train\IMG_8216_JPG_jpg.rf.63cf4f595f7b2c7be6abbfacb4c88eca__segment_taping.png,taping,train
dataset\images\train\2000x1500_5_resized_jpg.rf.6423c25a172441fa1f66e4e927fe68a9.jpg,dataset\masks\train\2000x1500_5_resized_jpg.rf.6423c25a172441fa1f66e4e927fe68a9__segment_taping.png,taping,train
dataset\images\train\IMG_8212_JPG_jpg.rf.63c4e0c9b62e530a9cb2ed84ed195f54.jpg,dataset\masks\train\IMG_8212_JPG_jpg.rf.63c4e0c9b62e530a9cb2ed84ed195f54__segment_taping.png,taping,train
dataset\images\train\IMG_8234_JPG_jpg.rf.65302ad3d79d08a5d24af5cff14d02f6.jpg,dataset\masks\train\IMG_8234_JPG_jpg.rf.65302ad3d79d08a5d24af5cff14d02f6__segment_taping.png,taping,train
dataset\images\train\IMG_8306_JPG_jpg.rf.645f3e5da81ea8ec959c4e3c775e1cb6.jpg,dataset\masks\train\IMG_8306_JPG_jpg.rf.645f3e5da81ea8ec959c4e3c775e1cb6__segment_taping.png,taping,train
dataset\images\train\IMG_8203_JPG_jpg.rf.6255d1a6b612921f1e23b0137295c179.jpg,dataset\masks\train\IMG_8203_JPG_jpg.rf.6255d1a6b612921f1e23b0137295c179__segment_taping.png,taping,train
dataset\images\train\IMG_8202_JPG_jpg.rf.6319850c20a364008d68fac13a8d5f41.jpg,dataset\masks\train\IMG_8202_JPG_jpg.rf.6319850c20a364008d68fac13a8d5f41__segment_taping.png,taping,train
dataset\images\train\IMG_8213_JPG_jpg.rf.6651ac8da0855dad06fe437ff3357e7e.jpg,dataset\masks\train\IMG_8213_JPG_jpg.rf.6651ac8da0855dad06fe437ff3357e7e__segment_taping.png,taping,train
dataset\images\train\IMG_8210_JPG_jpg.rf.6630debebb4c42cd25b193a285ca0205.jpg,dataset\masks\train\IMG_8210_JPG_jpg.rf.6630debebb4c42cd25b193a285ca0205__segment_taping.png,taping,train
dataset\images\train\IMG_8216_JPG_jpg.rf.6710779296372fc2e15411e7080828d0.jpg,dataset\masks\train\IMG_8216_JPG_jpg.rf.6710779296372fc2e15411e7080828d0__segment_taping.png,taping,train
dataset\images\train\IMG_8203_JPG_jpg.rf.64a271ec2ffd8bc038e825e771df5ece.jpg,dataset\masks\train\IMG_8203_JPG_jpg.rf.64a271ec2ffd8bc038e825e771df5ece__segment_taping.png,taping,train
dataset\images\train\IMG_8217_JPG_jpg.rf.63f5b9af0fe6c5aa221d83d9a8c68c76.jpg,dataset\masks\train\IMG_8217_JPG_jpg.rf.63f5b9af0fe6c5aa221d83d9a8c68c76__segment_taping.png,taping,train
dataset\images\train\IMG_8203_JPG_jpg.rf.67200be6ba2601270869341eb5bea769.jpg,dataset\masks\train\IMG_8203_JPG_jpg.rf.67200be6ba2601270869341eb5bea769__segment_taping.png,taping,train
dataset\images\train\IMG_8245_JPG_jpg.rf.66ef2ca4feccb21726c59a71cedf6e5c.jpg,dataset\masks\train\IMG_8245_JPG_jpg.rf.66ef2ca4feccb21726c59a71cedf6e5c__segment_taping.png,taping,train
dataset\images\train\IMG_8203_JPG_jpg.rf.6708f2be6e5e337357e3b2958bb45288.jpg,dataset\masks\train\IMG_8203_JPG_jpg.rf.6708f2be6e5e337357e3b2958bb45288__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_110706-jpg_1500x2000_jpg.rf.67ee4154f2c17e4fc5473a21a0e06c2f.jpg,dataset\masks\train\IMG_20220627_110706-jpg_1500x2000_jpg.rf.67ee4154f2c17e4fc5473a21a0e06c2f__segment_taping.png,taping,train
dataset\images\train\IMG_8229_JPG_jpg.rf.690381b5a685fe90e298172ba7f9855b.jpg,dataset\masks\train\IMG_8229_JPG_jpg.rf.690381b5a685fe90e298172ba7f9855b__segment_taping.png,taping,train
dataset\images\train\IMG_8240_JPG_jpg.rf.67a82404827af40a4e38f26dfe0ca56f.jpg,dataset\masks\train\IMG_8240_JPG_jpg.rf.67a82404827af40a4e38f26dfe0ca56f__segment_taping.png,taping,train
dataset\images\train\IMG_8205_JPG_jpg.rf.6d1732a4ebcbfe130d25b2a881c6793a.jpg,dataset\masks\train\IMG_8205_JPG_jpg.rf.6d1732a4ebcbfe130d25b2a881c6793a__segment_taping.png,taping,train
dataset\images\train\IMG_8202_JPG_jpg.rf.6b1466636c681b41a3bb047b16c7a291.jpg,dataset\masks\train\IMG_8202_JPG_jpg.rf.6b1466636c681b41a3bb047b16c7a291__segment_taping.png,taping,train
dataset\images\train\2000x1500_15_resized_jpg.rf.655800d5a62c9d8a281ba81d796ba371.jpg,dataset\masks\train\2000x1500_15_resized_jpg.rf.655800d5a62c9d8a281ba81d796ba371__segment_taping.png,taping,train
dataset\images\train\IMG_8247_JPG_jpg.rf.6d0ade24cb278a4f2b25be0451eb677b.jpg,dataset\masks\train\IMG_8247_JPG_jpg.rf.6d0ade24cb278a4f2b25be0451eb677b__segment_taping.png,taping,train
dataset\images\train\IMG_8234_JPG_jpg.rf.68da7d480649d9dd5dc0ccf943d4f02c.jpg,dataset\masks\train\IMG_8234_JPG_jpg.rf.68da7d480649d9dd5dc0ccf943d4f02c__segment_taping.png,taping,train
dataset\images\train\IMG_8212_JPG_jpg.rf.68fae6ff1b8f84c39c89d71a4c8ba54b.jpg,dataset\masks\train\IMG_8212_JPG_jpg.rf.68fae6ff1b8f84c39c89d71a4c8ba54b__segment_taping.png,taping,train
dataset\images\train\IMG_8207_JPG_jpg.rf.6a9ae9677fa4efbb878aee4f761e1e06.jpg,dataset\masks\train\IMG_8207_JPG_jpg.rf.6a9ae9677fa4efbb878aee4f761e1e06__segment_taping.png,taping,train
dataset\images\train\IMG_8203_JPG_jpg.rf.6ab5c4e888733edc8e77db2cac1a1b53.jpg,dataset\masks\train\IMG_8203_JPG_jpg.rf.6ab5c4e888733edc8e77db2cac1a1b53__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111052-jpg_1500x2000_jpg.rf.6bf6b695726502f3d36567c5c80566c9.jpg,dataset\masks\train\IMG_20220627_111052-jpg_1500x2000_jpg.rf.6bf6b695726502f3d36567c5c80566c9__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111320-jpg_1500x2000_jpg.rf.6e144a7bf5e62b816bc7e7247bd8c07b.jpg,dataset\masks\train\IMG_20220627_111320-jpg_1500x2000_jpg.rf.6e144a7bf5e62b816bc7e7247bd8c07b__segment_taping.png,taping,train
